R0:,B62
R1:,B24
R2:,B37
R3:,B14
R4:,B49
R5:,B16
R6:,B93
R7:,B90
R8:,B7
R9:,B97
R10:,B81
R11:,B76
R12:,B51
R13:,B39
R14:,B88
R15:,B47
R16:,B68
R17:,B28
R18:,B46
R19:,B34
R20:,B61
R21:,B45
R22:,B73
R23:,B5
R24:,B53
R25:,B91
R26:,B20
R27:,B65
R28:,B0
R29:,B19
R30:,B29
R31:,B84
R32:,B10
R33:,B87
R34:,B55
R35:,B59
R36:,B71
R37:,B83
R38:,B64
R39:,B79
R40:,B58
R41:,B18
R42:,B11
R43:,B78
R44:,B85
R45:,B1
R46:,B94
R47:,B21
R48:,B13
R49:,B96
R50:,B67
R51:,B70
R52:,B22
R53:,B80
R54:,B32
R55:,B44
R56:,B63
R57:,B52
R58:,B69
R59:,B3
R60:,B26
R61:,B27
R62:,B38
R63:,B56
R64:,B9
R65:,B95
R66:,B77
R67:,B54
R68:,B25
R69:,B42
R70:,B4
R71:,B36
R72:,B12
R73:,B75
R74:,B43
R75:,B6
R76:,B57
R77:,B17
R78:,B31
R79:,B33
R80:,B74
R81:,B72
R82:,B89
R83:,B98
R84:,B60
R85:,B66
R86:,B30
R87:,B23
R88:,B99
R89:,B40
R90:,B82
R91:,B48
R92:,B86
R93:,B92
R94:,B2
R95:,B8
R96:,B35
R97:,B15
R98:,B50
R99:,B41
