B0:,R4,R17,R21,R9,R12,R11,R13,R2,R22,R5,R24,R7,R1,R0,R18,R6,R20,R8,R19,R23,R3,R14,R15,R16,R10,
B1:,R24,R13,R5,R7,R16,R20,R10,R0,R11,R2,R23,R14,R15,R12,R1,R4,R21,R9,R6,R18,R17,R8,R22,R19,R3,
B2:,R11,R20,R3,R19,R16,R17,R7,R1,R21,R15,R14,R4,R12,R13,R6,R0,R22,R23,R24,R5,R10,R9,R2,R18,R8,
B3:,R17,R11,R13,R0,R23,R2,R3,R4,R8,R5,R18,R16,R15,R7,R9,R6,R24,R12,R1,R22,R21,R20,R19,R14,R10,
B4:,R17,R4,R12,R11,R7,R6,R16,R18,R2,R1,R15,R14,R19,R5,R8,R24,R21,R13,R20,R3,R23,R10,R22,R9,R0,
B5:,R16,R21,R15,R9,R5,R1,R14,R6,R24,R8,R20,R2,R17,R3,R10,R19,R7,R22,R12,R23,R11,R4,R18,R13,R0,
B6:,R11,R24,R6,R3,R23,R7,R9,R0,R14,R12,R16,R19,R21,R22,R20,R1,R5,R2,R18,R4,R10,R8,R13,R15,R17,
B7:,R2,R0,R9,R13,R3,R15,R1,R22,R20,R18,R24,R23,R19,R14,R5,R6,R10,R8,R17,R7,R11,R12,R4,R16,R21,
B8:,R12,R19,R14,R6,R17,R10,R7,R4,R3,R15,R0,R20,R21,R23,R18,R8,R24,R9,R2,R5,R1,R13,R22,R16,R11,
B9:,R7,R0,R6,R5,R14,R15,R20,R18,R13,R21,R22,R23,R19,R24,R11,R1,R9,R8,R17,R10,R12,R4,R2,R3,R16,
B10:,R3,R4,R9,R14,R7,R23,R6,R10,R21,R1,R24,R12,R2,R8,R22,R18,R0,R16,R5,R17,R11,R13,R15,R20,R19,
B11:,R20,R8,R24,R0,R5,R16,R2,R12,R9,R21,R6,R1,R11,R14,R13,R18,R15,R10,R3,R23,R7,R22,R19,R4,R17,
B12:,R8,R0,R1,R22,R20,R7,R13,R16,R6,R5,R17,R3,R10,R12,R4,R9,R15,R23,R19,R2,R24,R18,R14,R21,R11,
B13:,R23,R3,R1,R8,R19,R0,R17,R5,R15,R16,R2,R10,R9,R20,R22,R4,R24,R12,R18,R13,R21,R11,R7,R14,R6,
B14:,R13,R1,R14,R15,R2,R16,R12,R5,R0,R11,R6,R19,R22,R9,R18,R21,R3,R23,R24,R10,R7,R8,R20,R17,R4,
